cluster,name,category,rating,review_count,latitude,longitude,address
2.0,Ritz Caribbean Foods,Caribbean,2.1,7,43.7638456735596,-79.1924790601843,"['4351 Kingston Road', 'Toronto, ON M1E 2M9', 'Canada']"
2.0,Afghan Bbq & Pizza,Afghan,5.0,1,43.7651718,-79.1911358,"['4379 Kingston Road', 'Unit 4', 'Scarborough, ON M1E 2M9', 'Canada']"
2.0,China Gourmet King,Chinese,3.0,9,43.76329,-79.19419,"['4286 Kingston Road', 'Scarborough, ON M1E 2M8', 'Canada']"
2.0,Pizzally,Pizza,0.0,0,43.765918,-79.190803,"['4383 Kingston Road', 'Unit 4', 'Scarborough, ON M1E 2N2', 'Canada']"
2.0,Spice It Up,Caribbean,3.0,6,43.7659173,-79.1916725,"['4352 Kingston Road', 'Toronto, ON M1E 2M8', 'Canada']"
2.0,Fire Dutch's Jamaican Take Out,Caribbean,2.6,5,43.76329,-79.19419,"['4286 Kingston Road', 'Toronto, ON M1E 2M8', 'Canada']"
2.0,Chinese Buffet,Chinese,0.0,0,43.7570524418516,-79.2000116407871,"['18 Celeste Drive', 'Toronto, ON M1E', 'Canada']"
2.0,Boxy's Burrito,Mexican,1.0,1,43.7634119,-79.19419909999999,"['4286 Kingston Road', 'Scarborough, ON M1E 2M8', 'Canada']"
2.0,Eggsmart,Breakfast & Brunch,2.5,8,43.76781356,-79.190466,"['4410 Kingston Road', 'Toronto, ON M1E 2N4', 'Canada']"
2.0,Popeye’s,Chicken Wings,3.0,2,43.7664603405367,-79.1914877039574,"['4366 Kingston Road', 'Toronto, ON M1E 2M8', 'Canada']"
2.0,Indias Flavor,Indian,0.0,0,43.76614,-79.19163,"['4352 Kingston Rd', 'Scarborough, ON M1E 2M8', 'Canada']"
2.0,Mr Sub,Sandwiches,0.0,0,43.76614,-79.19163,"['4352 Kingston Road', 'Scarborough, ON M1E 2M8', 'Canada']"
3.0,EmpanadasAndEtc,Colombian,0.0,0,43.7484092712402,-79.4942474365234,"['Toronto, ON M3J 3C2', 'Canada']"
4.0,Local 1794,Canadian (New),4.0,129,43.68459,-79.31881,"['1794 Danforth Avenue', 'Toronto, ON M4C 1H8', 'Canada']"
4.0,Lucy Ethiopian Restaurant,Ethiopian,4.4,76,43.6841128,-79.3207142,"['1690 Danforth Avenue', 'Toronto, ON M4C', 'Canada']"
4.0,Bodega Henriette,Bars,4.2,88,43.6780199,-79.31471,"['1801 Gerrard Street E', 'Toronto, ON M4L 2B4', 'Canada']"
4.0,The Wood Owl,Tapas/Small Plates,4.4,20,43.68261,-79.32813,"['1380 Danforth Avenue', 'Toronto, ON M4J 1M9', 'Canada']"
4.0,Brick Farm Breakfast,Breakfast & Brunch,4.0,33,43.6860474583129,-79.3117921436689,"['2116 Danforth Avenue', 'Toronto, ON M4C 1J9', 'Canada']"
4.0,The Wren,Bars,4.2,242,43.6824096,-79.3280496,"['1382 Danforth Avenue', 'Toronto, ON M4J 1M9', 'Canada']"
