cluster,name,category,lat,lon
8.0,The Butcher's Son,Butcher,43.70198172204641,-79.39708748895376
8.0,Jules Cafe Patisserie,Dessert Shop,43.704142306094575,-79.38821194201142
8.0,Thobors Boulangerie Patisserie Café,Café,43.704520888954505,-79.38841269163947
8.0,June Rowlands Park,Park,43.700261051281416,-79.38829538950426
8.0,Apple Tree Farmer's Market,Farmers Market,43.70032613903132,-79.38976045544334
8.0,Rachel's Coffee House,Café,43.7009823756255,-79.3969280260148
8.0,Echo Sushi,Sushi Restaurant,43.701276209959566,-79.39719155389227
8.0,Zezafoun Syrian Cuisine,Syrian Restaurant,43.70276571816684,-79.39711898790915
8.0,Lola Sushi,Sushi Restaurant,43.70188924422844,-79.39758754929534
8.0,St. Louis Bar & Grill,Sports Bar,43.70156059631898,-79.3975579053515
8.0,XO Gelato,Dessert Shop,43.70517671239303,-79.3887930388649
8.0,Florentia Ristorante,Italian Restaurant,43.70353492669567,-79.38806833749088
8.0,Starbucks,Coffee Shop,43.705923,-79.389548
8.0,Zee Grill,Seafood Restaurant,43.70495835141418,-79.38857602476925
8.0,Positano,Italian Restaurant,43.70479514189493,-79.38850320718029
8.0,Thai Spicy House,Thai Restaurant,43.701955027012005,-79.38739533950633
8.0,Bread and Butter,Sandwich Spot,43.701576452352406,-79.38719460952119
8.0,Sushi Supreme,Sushi Restaurant,43.70056322248802,-79.39711818948349
8.0,Sakae Sushi,Sushi Restaurant,43.704906185845935,-79.38852090597697
8.0,Second Cup Café,Coffee Shop,43.70436956771931,-79.38895021851094
8.0,The Belsize Public House,New American Restaurant,43.70272560371404,-79.38761174073984
8.0,Viva Napoli,Pizzeria,43.70572223660071,-79.38888500030919
8.0,The Wallace Gastropub,Gastropub,43.69923778630866,-79.39697725113602
8.0,Mariachi's,Mexican Restaurant,43.70219956947088,-79.39757693808689
8.0,Starving Artist,Restaurant,43.70141324763723,-79.38712180222805
8.0,Hazel's Diner,Diner,43.702072779548274,-79.38732050142657
8.0,Zucca Trattoria,Italian Restaurant,43.703718042364216,-79.39792620276862
8.0,Mastermind Toys,Toy Store,43.70480185471151,-79.38841066876631
8.0,Hokkaido Ramen Santouka らーめん山頭火,Ramen Restaurant,43.70225596029238,-79.39717805124127
8.0,Subway,Sandwich Spot,43.70176497470913,-79.38769266076865
8.0,Eyedentity Eyestyles,Fashion Accessories Store,43.70367128394167,-79.38851129624088
8.0,iRepair.ca - iPhone & iPod Repair,Electronics Store,43.70319643947932,-79.39737493103263
8.0,"Sharon, Lois & Bram Playground",Playground,43.700085,-79.389246
8.0,Edible Arrangements,Gift Store,43.70410874238087,-79.38867462726515
8.0,The Chef Upstairs,American Restaurant,43.70186259125355,-79.38789542161285
8.0,The Regent Theatre,Movie Theater,43.70293426312521,-79.38783220205087
8.0,Compass Dermatology,Doctor's Office,43.704650533001754,-79.3889481989575
8.0,Doug Miller Books,Bookstore,43.7019281796356,-79.38776547064623
8.0,Sushi Zone,Sushi Restaurant,43.7001715167764,-79.39726664111049
8.0,Eye Studio,Eyecare Store,43.70176497470913,-79.38769266076865
8.0,Staples,Office Supply Store,43.7047691345214,-79.397346496582
8.0,The love shack,Speakeasy,43.705756765640636,-79.39460074929013
8.0,Piano Piano,Italian Restaurant,43.70446201079667,-79.3884501113066
9.0,Archive Wine Bar,Wine Bar,43.65083006358327,-79.4125405852057
9.0,Northern Belle,Cocktail Bar,43.65083822543628,-79.41266119480133
9.0,Sisters & Co,Breakfast Spot,43.650949456523655,-79.41167141974135
9.0,Saving Grace,Breakfast Spot,43.65099081649929,-79.41241972089844
9.0,Cocktail Bar,Cocktail Bar,43.650830283293615,-79.41325265742118
9.0,La Palma,Italian Restaurant,43.651425690080174,-79.4102625042409
9.0,Lucky Shrike,Bar,43.65160523345161,-79.41037369983258
9.0,Rhum Corner,Restaurant,43.65089556873813,-79.41316982839948
9.0,Ella's Uncle,Coffee Shop,43.650986621884364,-79.41250586210104
9.0,OVO Toronto Flagship,Clothing Store,43.65084351770354,-79.41235573650196
9.0,Mây Cafe,Karaoke Bar,43.651374871677696,-79.41122514859987
9.0,Hamers Coffee,Coffee Shop,43.651374871677696,-79.41122514859987
9.0,The Fourth Man In The Fire,Pizzeria,43.65173133592316,-79.4094120862496
9.0,California Sandwiches,Sandwich Spot,43.652664137129136,-79.41235165228667
9.0,Dundas Video,Bar,43.65146397734167,-79.40922912505232
9.0,Moments,Café,43.65114,-79.412285
9.0,Soul Daz,Bar,43.65149088990773,-79.41194494255602
9.0,Apt. 909,Vintage and Thrift Store,43.650895642596076,-79.41241081657714
9.0,Bar Vendetta,Wine Bar,43.651004925190676,-79.41322303011779
9.0,Churrasqueira Villa Verde,Portuguese Restaurant,43.651147871502346,-79.41048762676913
9.0,ML Lumber,Hardware Store,43.65147407884378,-79.41063324686645
9.0,Mejuri,Jewelry Store,43.651162994314646,-79.41259379384941
9.0,Casa La Palma,Bar,43.651325,-79.410161
9.0,Old School,American Restaurant,43.6518670453089,-79.40846172079483
9.0,Lambo’s Deli & Grocery,Deli,43.65074430244582,-79.4129476257978
9.0,#Hashtag Gallery,Art Gallery,43.651773347040944,-79.40806303221744
9.0,Patois,Caribbean Restaurant,43.651900269201214,-79.40816897297664
9.0,Creatures Creating,Art Gallery,43.65180363666871,-79.40918988343097
9.0,Caldense Bakery,Bakery,43.6518961097941,-79.4086903983476
9.0,Dundas Euclid Animal Hospital,Hospital,43.651625409513734,-79.41009642075903
9.0,Oxtail Pho & Banh Mi,Vietnamese Restaurant,43.65181708558418,-79.40900502948435
9.0,Collective Arts Brewing,Brewery,43.65187253844561,-79.40747111750176
9.0,Iglesia Católica San Juan Bautista,Church,43.65047525597344,-79.41355911649474
9.0,Le Dolci,Cupcake Shop,43.65047686325694,-79.41585009628538
9.0,Trinity Bellwoods Dog Park - The Bowl,Dog Park,43.64877528666724,-79.41454958826488
9.0,Real Empanada,Empanada Restaurant,43.65152282865182,-79.40919177603364
9.0,Queen Margherita Pizza,Italian Restaurant,43.65215334758988,-79.40746921429174
9.0,Montauk,Bar,43.65208369287188,-79.4068975523757
9.0,Hard Luck,Bar,43.652048513855036,-79.40734910980903
9.0,Bitondo Pizzeria,Pizzeria,43.65416941033962,-79.41340014338493
9.0,Jack and Lil's,African Restaurant,43.651601853102036,-79.40887714727914
9.0,Chop Chop,Chinese Restaurant,43.65197172692918,-79.40687920003701
9.0,Trinity Bellwoods Arena,Skating Rink,43.64950841605553,-79.41373181820568
9.0,Trinity Bellwoods #1 North - Baseball,Baseball Field,43.64992540406713,-79.41417246166714
9.0,Trinity Bellwoods Park,Park,43.64707192840234,-79.4137559260075
9.0,San Francesco Foods,Sandwich Spot,43.653955947117254,-79.41355446661132
9.0,Monarch Tavern,Dive Bar,43.654105012485054,-79.41360584481548
9.0,SkyDome In Trinity Bellwoods Park,Baseball Field,43.649731994418346,-79.41431879997253
9.0,Provenance Regional Cuisine,Grocery Store,43.65197513321935,-79.40837576607132
9.0,Ciccio's Pizza & Pasta,Pizzeria,43.65198185707548,-79.40828333860868
