name,latitude,longitude,free_bikes,empty_slots
Blake St / Boultbee Ave,43.672453,-79.338259,14,1
Granby St / Church St - SMART,43.6614605,-79.37894570000002,13,9
Vaughan Rd /Wychwood Ave,43.6882821,-79.4253856,2,16
Spadina Ave / Sullivan St,43.65082785552666,-79.39698099821702,9,13
Jarvis St / Carlton St,43.66207,-79.37617,10,4
Mallaby Park ,43.706191092397106,-79.53262795581969,0,14
Bathurst St / Lennox St,43.663808,-79.410491,2,14
1303 Yonge St - SMART,43.6846177,-79.39245919999999,2,12
Palmerston Ave / Vermont Ave,43.671389,-79.416389,9,4
Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,3,15
York St / Queens Quay W,43.640132,-79.380464,15,42
Gamble Ave / Broadview Ave,43.689211,-79.35438,19,3
Howard Park Ave / Dundas St W - SMART,43.6521,-79.4486,1,9
St. Columba Pl / St. Clair Ave E,43.70567,-79.310554,4,14
Bloor St W / Huron St,43.667023,-79.401805,13,13
Bloor St W / Gladstone Ave - SMART,43.6602021,-79.4342726,5,4
Greenwood Ave / Sammon Ave,43.68698672516659,-79.33478198280334,11,0
High Park Ave / Dundas St W,43.6653032,-79.4701178,8,6
Sunnybrook Park,43.720233,-79.362092,8,18
Danforth Ave / Ellerbeck St,43.677076,-79.35667,11,3
1612 Danforth Ave ,43.68370788065334,-79.32262453633884,7,7
Finch Ave W / Wilmington Ave,43.77060244428048,-79.45997589178772,4,14
Charles St E / Jarvis St - SMART,43.669604,-79.381171,3,17
Queens Quay / Yonge St,43.641646,-79.375308,16,25
HTO Park West,43.63737145931921,-79.38976958703309,26,1
University of Toronto Scarborough,43.7842419,-79.1849889,1,14
King St W / Douro St,43.640885,-79.416379,9,2
Lower Jarvis St / Queens Quay E,43.64422,-79.36927,17,1
Keele St / Catford Rd,43.75919330632997,-79.49001046850891,1,12
Brick Works,43.683884,-79.36647,23,0
Danforth Ave / Dewhurst Blvd,43.680207,-79.339243,9,6
Kingston Rd / Glen Everest Rd,43.697490048103,-79.25655146462776,9,3
Queens Quay E / Lower Jarvis St ,43.64392767366328,-79.3687301736982,18,3
Vaughan Rd / Oakwood Ave,43.6926825,-79.441042,2,17
Rushton Rd / St. Clair Ave W,43.68114,-79.4277,0,11
Queen St E / Alton Av,43.663912,-79.327987,10,9
Brockley Dr / Lawrence Ave E,43.752354851176584,-79.26279658857231,0,11
Torresdale Ave / Antibes Dr,43.77953,-79.45233,12,1
Cherry St / Polson St,43.643320932767004,-79.35120948518066,1,16
Tangiers Rd / Finch Ave W,43.76376964130183,-79.48809242593383,1,14
Adelaide St W / Bay St (South),43.65011637593798,-79.37953068860327,0,15
Fort York Blvd / Garrison Rd,43.637381,-79.406112,10,2
Niagara St / Queen St W ,43.64572868466845,-79.40990680181771,2,8
Cariboo Ave / Railpath Trail,43.66666667,-79.45833333333334,3,16
Davisville Ave / Pailton Cres,43.69933,-79.39199,7,11
Yonge St / St. Clair Ave,43.68850460000001,-79.39416076812287,3,15
Simcoe St / Dundas St W,43.655103,-79.389295,4,14
Mill St / Tannery Rd,43.652219,-79.354455,24,2
Dundas St E / George St,43.6574766,-79.373446,17,5
Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,2,45
Church St / Lombard St,43.651678,-79.375233,13,3
Augusta Ave / Denison Sq,43.653766,-79.4016759,3,9
St. John's Rd / Dundas St W,43.66526761605873,-79.47502122887077,8,5
Millwood Rd / Southvale Dr,43.70241717215276,-79.36175932936095,3,10
Dundas St E / Broadview Ave,43.662365,-79.351104,16,2
Dundas St W / Edna Ave,43.657192,-79.452559,1,14
Frobisher Ave / Lascelles Blvd,43.696708,-79.40045,3,15
Eastgate Cres / Pharmacy Ave ,43.7110442448186,-79.29127313845584,0,15
St. Andrew's Playground Park,43.646552,-79.399586,5,2
Roxton Rd / Harbord St,43.65905,-79.422988,2,7
Sixth St / Lake Shore Blvd W,43.60116229109828,-79.50416046627045,13,0
Dufferin St / Queen St W,43.64309687937765,-79.42875613770637,5,9
Yonge St / Sheppard Ave E,43.76128605777495,-79.41071644205269,2,17
Davenport Rd / Bathurst St,43.676667,-79.416111,0,14
Havelock St / Dufferin Park,43.657343,-79.43112,15,14
Bellamy Rd N / The Meadoway,43.76507271818177,-79.23835381614684,2,12
Sunnybrook Health Centre - L Wing,43.72268,-79.37644,5,9
Teddington Park Ave,43.732975,-79.40401,0,14
21 Pleasant Blvd (2),43.687204264115415,-79.39269726524513,1,10
Scarlett Rd / Old Scarlett Rd ,43.678276306636576,-79.50667332401198,4,9
Blythwood Rd / Yonge St - SMART,43.716652,-79.399993,1,9
Runnymede Rd / Annette St,43.6596299,-79.4799176,5,9
285 Victoria St,43.656633,-79.379625,2,34
